1012,   Small Gym
1013,	weight room
1014,	Family Studies
1024A,	large gym A
1024B,	large gym B
1031,   Science / Biology
1032,	Technology room
1033,	classroom
1034,	classroom
1035,	classroom
1036,	classroom
1037,	Technology room
1040,	Special Education 
1041,	Special Education 
1042,	Special Education 
1043,	Special Education 
1044,	Science
1050,	Science
1055,	Science
1059,	classroom
1059A,	classroom
1060,	classroom
1061,	classroom
1062,	classroom
1063,	classroom
1065,	Steam room
1069,	music
1070,	drama
2001D,	library classroom
2002,	Technology room
2002A,	Technology room
2004,	Art
2005,	Art
2006,	classroom
2007,	classroom
2008,	classroom
2009,	classroom
2010,	classroom
2010A,	classroom
2011,	Science
2018,	science
2023,	science
2024,	classroom
2024A,	classroom
2025,	classroom
2026,	classroom
2027,	classroom
2028,	classroom
2030,	Alt ed
2034,	classroom
2035,	classroom
2036,	classroom
2037,	classroom
2038,	computer Sci
2038A,	computer sci
2044,	science / physics
2001,   Library/co-op
PB1,	classroom
PB10,	classroom
PB11,	classroom
PB2,	classroom
PB3,	classroom
PB4,	classroom
PB5,	classroom
PB6,	classroom
PB7,	Alt Ed
PB8,	classroom
PB9,	classroom
0,      Cafeteria